datum;Afname Dag;Afname Nacht;Injectie Dag;Injectie Nacht;zon
26/10/2021;0;0;0;0;10,6
27/10/2021;36,195;8,22;0,348;0;10,1
28/10/2021;15,404;14,346;10,975;0;19,9
29/10/2021;9,961;9,901;6,316;0;10,8
30/10/2021;0;17,235;0;0,113;1,2
31/10/2021;0;42,945;0;0,275;2,7
1/11/2021;19,451;17,935;4,197;0;9,1
2/11/2021;19,904;12,241;1,136;0;4,4
3/11/2021;17,779;14,367;7,046;0;13,3
4/11/2021;24,507;13,414;1,255;0;6
5/11/2021;17,493;13,706;3,405;0;6,6
6/11/2021;0;33,161;0;0,447;3,3
7/11/2021;0;23,437;0;2,942;6,4
8/11/2021;7,522;2,86;7,668;0;10,3
9/11/2021;10,476;4,118;3,294;0;6,9
10/11/2021;7,206;6,917;7,149;0;11,8
11/11/2021;17,688;6,168;0,158;0;3,2
12/11/2021;30,075;10,527;0,334;0;12,1
13/11/2021;0;38,83;0;0,248;2,7
14/11/2021;0;36,096;0;0,434;2,6
15/11/2021;28,056;13,504;0;0;0,8
16/11/2021;23,967;10,5;0;0;1,1
17/11/2021;7,71;4,762;2,31;0;4,5
18/11/2021;9,18;4,915;6,86;0;11,1
19/11/2021;9,788;4,669;0,126;0;1,8
20/11/2021;0;14,016;0;0;1,1
21/11/2021;0;17,416;0;1,253;3,7
22/11/2021;6,966;6,516;12,876;0;16,8
23/11/2021;11,045;3,117;0,03;0;2
24/11/2021;15,926;4,156;0,001;0;1,2
25/11/2021;8,819;2,766;0,198;0;2
26/11/2021;10,339;4,305;0;0;1,1
27/11/2021;0;16,212;0;2,226;5,9
28/11/2021;0;20,209;0;0,023;1,1
29/11/2021;7,209;4,053;7,056;0;9
30/11/2021;14,167;4,145;0;0;0,7
1/12/2021;12,823;3,742;0,027;0;1,5
2/12/2021;14,294;3,367;3,116;0;4,7
3/12/2021;11,253;4,164;0,017;0;1,4
4/12/2021;0;18,079;0;0,207;1,4
5/12/2021;0;19,088;0;0,986;4,9
6/12/2021;7,787;4,627;2,591;0;4,4
7/12/2021;11,269;2,019;2,384;0;6
8/12/2021;9,727;3,158;4,684;0;7
9/12/2021;8,133;2,214;0,003;0;1,3
10/12/2021;6,808;3,159;0;0;0,8
11/12/2021;0;13,419;0;7,113;9,6
12/12/2021;0;16,952;0;0;1
13/12/2021;18,09;3,682;0;0;1
14/12/2021;19,689;3,188;0;0;1,3
15/12/2021;15,274;3,922;0;0;0,9
16/12/2021;13,055;3,311;2,322;0;4,6
17/12/2021;9,824;3,99;0;0;0,9
18/12/2021;0;20,391;0;0;0,7
19/12/2021;0;16,287;0;0,01;1,1
20/12/2021;10,999;3,153;0;0;0,9
21/12/2021;6,13;6,153;9,899;0;14,9
22/12/2021;10,503;3,131;5,053;0;9
23/12/2021;11,81;3,627;0,027;0;1,8
24/12/2021;9,918;3,959;0;0;0,9
25/12/2021;0;11,761;0;0,004;0,9
26/12/2021;0;11,782;0;1,275;2,7
27/12/2021;12,495;2,453;0,002;0;1
28/12/2021;10,274;4,524;0,61;0;1,5
29/12/2021;10,853;2,044;0;0;0,8
30/12/2021;13,292;3,196;0,718;0;1,9
31/12/2021;20,77;5,239;0,341;0;2,1
1/01/2022;0;11,361;0;2,852;5
2/01/2022;0;11,498;0;2,256;3,8
3/01/2022;9,571;2,792;0;0;1
4/01/2022;12,775;3,94;0;0;0,9
5/01/2022;16,353;3,526;0,002;0;1,9
6/01/2022;4,991;3,514;7,856;0;12,6
7/01/2022;9,554;2,657;0,906;0;2,7
8/01/2022;0;17,487;0;0;0,8
9/01/2022;0;10,112;0;6,81;11
10/01/2022;11,328;4,85;0,026;0;1,6
11/01/2022;6,923;6,227;4,781;0;8,9
12/01/2022;12,833;4,53;0;0;1,4
13/01/2022;13,189;4,44;0,004;0;1,7
14/01/2022;7,466;3,734;0,914;0;3,2
15/01/2022;0;15,789;0;2,547;7
16/01/2022;0;22,553;0;0;0,9
17/01/2022;10,268;2,718;8,644;0;11,7
18/01/2022;7,602;3,559;5,033;0;7,8
19/01/2022;15,64;6,336;0;0;1
20/01/2022;6,352;5,554;5,444;0;7,4
21/01/2022;13,923;2,638;2,47;0;5,4
22/01/2022;0;9,984;0;0,006;1,1
23/01/2022;0;19,323;0;0;0,8
24/01/2022;9,291;3,446;5,344;0;9,6
25/01/2022;9,602;4,101;0;0;1,4
26/01/2022;12,165;5,14;0;0;1,2
27/01/2022;13,02;4,345;0;0;1,1
28/01/2022;5,3;5,219;3,077;0;6,1
29/01/2022;0;14,693;0;1,194;4,3
30/01/2022;0;13,907;0;6,776;9,6
31/01/2022;11,312;5,22;0,701;0;2,3
1/02/2022;7,017;4,567;0,841;0;2,7
2/02/2022;11,818;3,055;0,021;0;1,4
3/02/2022;9,486;5,587;0,004;0;1,4
4/02/2022;7,22;2,596;0,062;0;1,9
5/02/2022;0;13,271;0;11,812;17
6/02/2022;0;15,45;0;0,129;1,2
7/02/2022;6,265;5,294;15,744;0;19,6
8/02/2022;8,39;5,11;1,433;0;6
9/02/2022;8,316;4,485;1,198;0;4,6
10/02/2022;10,546;5,706;0,512;0;2,9
11/02/2022;4,184;3,346;7,087;0;12,7
12/02/2022;0;14,13;0;15,517;18,9
13/02/2022;0;12,616;0;6,627;11,5
14/02/2022;10,251;2,743;8,855;0;11,7
15/02/2022;9,025;3,653;8,449;0;11,7
16/02/2022;11,387;3,294;0,661;0;3
17/02/2022;5,585;3,341;6,744;0;12,2
18/02/2022;10,103;4,335;0,897;0;3,5
19/02/2022;0;7,018;0;7,994;10,7
20/02/2022;0;25,706;0;0;1,2
21/02/2022;8,904;3,862;1,686;0;4,3
22/02/2022;4,084;4,067;1,006;0;2,9
23/02/2022;3,672;4,353;16,639;0;19,7
24/02/2022;10,408;3,896;6,386;0;9,3
25/02/2022;3,67;3,731;7,154;0;10,5
26/02/2022;0;3,166;0;20,861;23,1
27/02/2022;0;3,14;0;22,437;24,3
28/02/2022;4,259;1,92;21,196;0;23,4
1/03/2022;11,588;2,255;1,331;0;4,4
2/03/2022;6,027;4,3;8,634;0;10
3/03/2022;4,644;3,716;16,32;0;22,7
4/03/2022;2,003;3,113;17;0;22,8
5/03/2022;0;8,264;0;18,536;24
6/03/2022;0;8,717;0;17,103;21,8
7/03/2022;4,707;4,103;21,094;0;24,6
8/03/2022;6,034;4,832;20,859;0;25,5
9/03/2022;4,24;4,493;15,832;0;23,8
10/03/2022;4,421;4,028;16,429;0;23,8
11/03/2022;3,861;4,294;16,646;0;20,2
12/03/2022;0;4,828;0;9,482;12
13/03/2022;0;4,49;0;16,921;19,5
14/03/2022;7,054;2,677;9,247;0;13
15/03/2022;7,185;2,675;5,01;0;8,7
16/03/2022;7,534;3,276;2,697;0;7,4
17/03/2022;3,759;2,784;12,9;0;17,1
18/03/2022;5,189;4,472;19,284;0;26,8
19/03/2022;0;7,609;0;21,591;25,4
20/03/2022;0;6,231;0;5,981;10
21/03/2022;6,502;3,09;16,802;0;23,8
22/03/2022;5,246;3,613;20,925;0;23,4
23/03/2022;4,395;2,432;17,806;0;24
24/03/2022;1,81;3,725;19,266;0;24,4
25/03/2022;2,337;2,878;19,959;0;25,2
26/03/2022;0;5,293;0;17,312;25,8
27/03/2022;0;5,808;0;7,006;10,3
28/03/2022;5,478;3,302;18,264;0;21,4
29/03/2022;3,623;3,889;6,611;0;9,8
30/03/2022;9,626;4,994;4,96;0;11,4
31/03/2022;5,512;3,949;6,649;0;10,6
1/04/2022;8,355;3,077;0,265;0;2,8
2/04/2022;0;3,094;0;11,297;14
3/04/2022;0;3,929;0;13,406;16
4/04/2022;12,239;2,546;0,031;0;3
5/04/2022;2,688;2,257;1,933;0;5,1
6/04/2022;14,286;2,745;0,071;0;2,9
7/04/2022;6,033;2,177;9,254;0;15,9
8/04/2022;4,668;2,952;1,269;0;5,4
9/04/2022;0;7,577;0;15,359;22,5
10/04/2022;0;7,431;0;14,492;19,9
11/04/2022;4,87;3,245;19,801;0;23,6
12/04/2022;3,055;2,038;14,952;0;21,5
13/04/2022;5,508;4,138;4,648;0;8,3
14/04/2022;1,333;2,156;12,795;0;17,2
15/04/2022;0,606;2,049;23,784;0;26,5
16/04/2022;0;6,598;0;24,386;28
17/04/2022;0;6,948;0;25,45;28,7
18/04/2022;11,653;2,347;10,73;0;26,4
19/04/2022;11,333;10,696;6,704;0;18
20/04/2022;1,421;2,95;20,291;0;24
21/04/2022;2,19;2,697;22,409;0;27,3
22/04/2022;20,972;3,902;0,662;0;13,7
23/04/2022;0;6,988;0;19,614;23,3
24/04/2022;0;13,732;0;19,337;25,1
25/04/2022;5,035;3,165;4,695;0;10,1
26/04/2022;2,215;3,034;17,572;0;22,3
27/04/2022;2,199;3,967;21,103;0;26,9
28/04/2022;5,247;3,955;16,846;0;25,3
29/04/2022;3,067;3,649;9,709;0;14,9
30/04/2022;0;13,591;0;5,252;11,5
1/05/2022;0;10,671;0;14,56;19,6
2/05/2022;12,89;6,594;5,085;0;24,8
3/05/2022;9,118;11,373;12,995;0;21,3
4/05/2022;3,323;3,286;15,411;0;21,7
5/05/2022;4,636;3,008;8,115;0;12,5
6/05/2022;2,615;4,209;19,109;0;23,6
7/05/2022;0;5,288;0;13,558;20,9
8/05/2022;0;4,956;0;19,754;26,7
9/05/2022;10,024;4,3;7,372;0;26,7
10/05/2022;6,129;12,301;9,513;0;14,4
11/05/2022;7,11;11,752;17,248;0;25,1
12/05/2022;6,26;11,205;9,565;0;19,8
13/05/2022;5,887;8,872;12,701;0;19,3
14/05/2022;0;14,104;0;20,362;27,2
15/05/2022;0;3,862;0;22,579;25,8
16/05/2022;12,876;4,916;7,583;0;14,9
17/05/2022;5,399;9,58;19,108;0;24,2
18/05/2022;3,245;3,484;16,895;0;25,5
